Order Id,shipping date (DateOrders),Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Latitude,Longitude,Order City,Order Country,Order State
34773,2016-05-26 14:10:00,Second Class,4,2,Late delivery,1,18.27466202,-66.37058258,Overland Park,Estados Unidos,Kansas
44046,2016-10-06 22:55:00,Second Class,2,2,Shipping on time,0,18.2689991,-66.37049866,Ugep,Nigeria,Cross River
46414,2016-11-13 12:32:00,Second Class,5,2,Late delivery,1,18.2308178,-66.37052155,Kinshasa,República Democrática del Congo,Kinshasa
46599,2016-11-16 05:21:00,Second Class,5,2,Late delivery,1,18.26138115,-66.37056732,Dakar,Senegal,Dakar
48434,2016-12-13 00:14:00,Second Class,5,2,Late delivery,1,18.23650742,-66.37051392,Casablanca,Marruecos,Gran Casablanca
12827,2015-07-10 05:31:00,Second Class,3,2,Late delivery,1,18.35921478,-66.07779694,Dortmund,Alemania,Renania del Norte-Westfalia
63936,2017-07-24 07:16:00,Second Class,2,2,Shipping on time,0,18.29944229,-66.37052155,Drancy,Francia,Isla de Francia
65030,2017-08-13 06:33:00,Second Class,6,2,Late delivery,1,18.28996849,-66.37054443,Nantes,Francia,Países del Loira
18108,2015-09-26 07:41:00,Second Class,4,2,Late delivery,1,18.2275734,-66.04563141,Groningen,Países Bajos,Groningen
62571,2017-07-04 09:03:00,Second Class,2,2,Shipping on time,0,18.2988205,-66.37059784,Gateshead,Reino Unido,Inglaterra
17162,2015-09-11 12:15:00,Second Class,3,2,Late delivery,1,18.02538109,-66.61508179,Eastbourne,Reino Unido,Inglaterra
65922,2017-08-23 07:03:00,Second Class,3,2,Late delivery,1,18.25048637,-66.37062836,Hayange,Francia,Alsacia-Champaña-Ardenas-Lorena
63936,2017-07-24 07:16:00,Second Class,2,2,Shipping on time,0,18.29944229,-66.37052155,Drancy,Francia,Isla de Francia
64813,2017-08-08 02:31:00,Second Class,4,2,Late delivery,1,18.24069786,-66.37055969,Portsmouth,Reino Unido,Inglaterra
67892,2017-09-21 01:14:00,Second Class,3,2,Late delivery,1,18.26268196,-66.37049866,Gelsenkirchen,Alemania,Renania del Norte-Westfalia
12525,2015-07-08 19:42:00,Second Class,6,2,Late delivery,1,18.21209908,-66.37050629,Nice,Francia,Provenza-Alpes-Costa Azul
5895,2015-04-03 00:55:00,Second Class,6,2,Late delivery,1,18.23131371,-66.37062836,Petapa,Guatemala,Guatemala
56359,2017-04-07 16:43:00,Second Class,5,2,Late delivery,1,18.29652023,-66.04867554,Mejicanos,El Salvador,San Salvador
58613,2017-05-09 14:23:00,Second Class,4,2,Late delivery,1,18.28746414,-66.37054443,David,Panamá,Chiriquí
7824,2015-04-30 04:44:00,Second Class,5,2,Late delivery,1,18.29108048,-66.37050629,Santo Domingo,República Dominicana,Santo Domingo
7814,2015-04-30 01:14:00,Second Class,5,2,Late delivery,1,18.24984551,-66.37050629,Cabimas,Venezuela,Zulia
7814,2015-04-30 01:14:00,Second Class,5,2,Late delivery,1,18.24984551,-66.37050629,Cabimas,Venezuela,Zulia
60807,2017-06-09 15:03:00,Second Class,3,2,Late delivery,1,18.25671768,-66.37062836,Santo Domingo,República Dominicana,Santo Domingo
53413,2017-02-22 16:36:00,Second Class,4,2,Late delivery,1,18.24754334,-66.0253067,Dos Quebradas,Colombia,Risaralda
7888,2015-04-30 03:10:00,Second Class,4,2,Late delivery,1,18.27673721,-66.37055206,Ilopango,El Salvador,San Salvador
6783,2015-04-14 00:02:00,Second Class,4,2,Late delivery,1,18.2968483,-66.37050629,Tegucigalpa,Honduras,Francisco Morazán
56973,2017-04-15 15:49:00,Second Class,4,2,Late delivery,1,18.29609299,-66.37050629,Juazeiro,Brasil,Bahía
7824,2015-04-30 04:44:00,Second Class,5,2,Late delivery,1,18.29108048,-66.37050629,Santo Domingo,República Dominicana,Santo Domingo
55155,2017-03-22 02:54:00,Second Class,6,2,Late delivery,1,18.2105732,-66.37058258,Mexico City,México,Distrito Federal
5991,2015-03-31 10:33:00,Second Class,2,2,Shipping on time,0,18.20111656,-66.37059021,Tlaquepaque,México,Jalisco
2263,2015-02-07 00:28:00,Second Class,4,2,Late delivery,1,18.21469116,-66.37051392,Puebla,México,Puebla
2263,2015-02-07 00:28:00,Second Class,4,2,Late delivery,1,18.21469116,-66.37051392,Puebla,México,Puebla
53403,2017-02-22 13:05:00,Second Class,4,2,Late delivery,1,18.28425598,-66.37058258,Mexico City,México,Distrito Federal
51298,2017-01-22 19:37:00,Second Class,4,2,Late delivery,1,18.20666885,-66.37056732,São Paulo,Brasil,São Paulo
4919,2015-03-18 18:59:00,Standard Class,5,4,Late delivery,1,18.35907555,-66.07783508,Montevideo,Uruguay,Montevideo
52640,2017-02-13 09:47:00,Standard Class,6,4,Late delivery,1,18.26378822,-66.37052918,Buenos Aires,Argentina,Buenos Aires
6358,2015-04-07 19:08:00,Standard Class,4,4,Shipping on time,0,18.20330429,-66.37052155,São Paulo,Brasil,São Paulo
57106,2017-04-15 14:25:00,Standard Class,2,4,Advance shipping,0,18.22487068,-66.37052155,Barueri,Brasil,São Paulo
6245,2015-04-08 03:33:00,Standard Class,6,4,Late delivery,1,18.25061035,-66.37062836,Arapongas,Brasil,Paraná
52166,2017-02-02 11:43:00,Standard Class,2,4,Advance shipping,0,18.27340317,-66.37052155,Camagüey,Cuba,Camagüey
56172,2017-04-02 23:12:00,Standard Class,3,4,Advance shipping,0,18.29137993,-66.3705368,Las Tunas,Cuba,Las Tunas
55829,2017-03-30 23:02:00,Standard Class,5,4,Late delivery,1,18.24738884,-66.37057495,Santo Domingo,República Dominicana,Santo Domingo
52478,2017-02-09 01:01:00,Standard Class,4,4,Shipping on time,0,18.27920532,-66.37055206,Tepic,México,Nayarit
57242,2017-04-18 14:04:00,Standard Class,3,4,Advance shipping,0,17.98249054,-66.1126709,San Miguelito,Panamá,Panamá
3137,2015-02-18 18:40:00,Standard Class,3,4,Advance shipping,0,18.24496079,-66.3705368,Ixtapaluca,México,México
60127,2017-05-30 16:48:00,Standard Class,3,4,Advance shipping,0,18.28453636,-66.37060547,Maceió,Brasil,Alagoas
3828,2015-03-01 20:46:00,Standard Class,4,4,Shipping on time,0,18.28339195,-66.37051392,David,Panamá,Chiriquí
60386,2017-06-02 11:33:00,Standard Class,2,4,Advance shipping,0,18.22172546,-66.37059021,Belo Horizonte,Brasil,Minas Gerais
973,2015-01-19 04:32:00,Standard Class,4,4,Shipping on time,0,18.25333214,-66.37051392,Santiago de Cuba,Cuba,Santiago de Cuba
57999,2017-05-01 15:16:00,Standard Class,5,4,Late delivery,1,18.22976875,-66.37052918,San Pedro Sula,Honduras,Cortés
54585,2017-03-13 19:12:00,Standard Class,6,4,Late delivery,1,18.22978401,-66.37054443,Lima,Perú,Lima (ciudad)
57598,2017-04-24 18:47:00,Standard Class,4,4,Shipping on time,0,18.22758102,-66.04357147,Holguín,Cuba,Holguín
54274,2017-03-08 06:14:00,Standard Class,5,4,Late delivery,1,18.22297287,-66.37059021,Orizaba,México,Veracruz
60673,2017-06-08 16:06:00,Standard Class,4,4,Shipping on time,0,18.24120712,-66.37050629,Managua,Nicaragua,Managua
59387,2017-05-19 21:33:00,Standard Class,3,4,Advance shipping,0,18.05199051,-66.50184631,Villahermosa,México,Tabasco
52640,2017-02-13 09:47:00,Standard Class,6,4,Late delivery,1,18.26378822,-66.37052918,Buenos Aires,Argentina,Buenos Aires
10007,2015-05-30 01:32:00,Standard Class,3,4,Advance shipping,0,18.20664215,-66.37052918,Quixadá,Brasil,Ceará
55984,2017-04-02 05:20:00,Standard Class,5,4,Late delivery,1,18.27825165,-66.37059784,Mejicanos,El Salvador,San Salvador
52478,2017-02-09 01:01:00,Standard Class,4,4,Shipping on time,0,18.27920532,-66.37055206,Tepic,México,Nayarit
58375,2017-05-08 03:00:00,Standard Class,6,4,Late delivery,1,17.98249054,-66.1126709,Mixco,Guatemala,Guatemala
56448,2017-04-07 23:53:00,Standard Class,4,4,Shipping on time,0,18.22776032,-66.37059021,Nueva Gerona,Cuba,Isla de la Juventud
8221,2015-05-02 23:49:00,Standard Class,2,4,Advance shipping,0,18.2362442,-66.37062073,Buenos Aires,Argentina,Buenos Aires
58034,2017-05-02 03:32:00,Standard Class,5,4,Late delivery,1,18.21949196,-66.37052918,Chimaltenango,Guatemala,Chimaltenango
2203,2015-02-06 03:27:00,Standard Class,4,4,Shipping on time,0,18.25289154,-66.37058258,Villa Nueva,Guatemala,Guatemala
53069,2017-02-18 16:05:00,Standard Class,5,4,Late delivery,1,18.22985077,-66.37062073,Quito,Ecuador,Pichincha
60146,2017-05-29 23:28:00,Standard Class,2,4,Advance shipping,0,18.22190094,-66.37052155,Managua,Nicaragua,Managua
55409,2017-03-24 19:53:00,Standard Class,5,4,Late delivery,1,18.26019096,-66.37052918,Valle de La Pascua,Venezuela,Guárico
8678,2015-05-11 15:56:00,Standard Class,4,4,Shipping on time,0,18.28128624,-66.37050629,San Miguelito,Panamá,Panamá
7980,2015-05-03 11:23:00,Standard Class,6,4,Late delivery,1,18.21101761,-66.37052918,San Miguelito,Panamá,Panamá
57185,2017-04-20 18:06:00,Standard Class,6,4,Late delivery,1,18.22019768,-66.37058258,Petapa,Guatemala,Guatemala
8636,2015-05-09 01:13:00,Standard Class,2,4,Advance shipping,0,18.25534058,-66.37050629,Cotia,Brasil,São Paulo
61192,2017-06-15 05:55:00,Standard Class,3,4,Advance shipping,0,18.23215866,-66.37059021,Itapecuru Mirim,Brasil,Marañón
55876,2017-03-28 15:30:00,Standard Class,2,4,Advance shipping,0,18.20737648,-66.37055206,León,Nicaragua,León
53331,2017-02-19 11:52:00,Standard Class,2,4,Advance shipping,0,18.27331543,-66.37060547,Tlalpan,México,Distrito Federal
51725,2017-01-31 01:13:00,Standard Class,6,4,Late delivery,1,18.2626648,-66.3706131,Apopa,El Salvador,San Salvador
52562,2017-02-09 06:27:00,Standard Class,3,4,Advance shipping,0,18.26016426,-66.37059021,Cipolletti,Argentina,Río Negro
59754,2017-05-27 06:08:00,Standard Class,5,4,Late delivery,1,18.24535179,-66.37059784,Mejicanos,El Salvador,San Salvador
53574,2017-02-26 01:00:00,Standard Class,5,4,Late delivery,1,18.21775055,-66.37060547,La Ceiba,Honduras,Atlántida
399,2015-01-11 19:26:00,Standard Class,5,4,Late delivery,1,18.29214859,-66.3706131,Córdoba,México,Veracruz
51050,2017-01-21 04:44:00,Second Class,6,2,Late delivery,1,18.26737404,-66.37062836,Kuito,Angola,Bié
45680,2016-11-03 19:23:00,Second Class,6,2,Late delivery,1,18.29659462,-66.37059021,Jartum,Sudán,Jartum
42992,2016-09-22 13:39:00,Second Class,3,2,Late delivery,1,18.27468491,-66.37056732,Hargeysa,Somalia,Gobolka Woqooyi Galbeed
41304,2016-08-30 22:16:00,Second Class,5,2,Late delivery,1,18.21944618,-66.37057495,Kenitra,Marruecos,Garb-Chrarda-Beni Hsen
45680,2016-11-03 19:23:00,Second Class,6,2,Late delivery,1,18.29659462,-66.37059021,Jartum,Sudán,Jartum
44253,2016-10-11 23:26:00,Second Class,4,2,Late delivery,1,18.23975563,-66.37059021,Abidjan,Costa de Marfil,Lagunes
46098,2016-11-07 21:49:00,Second Class,4,2,Late delivery,1,18.2643261,-66.37060547,Abu Kabir,Egipto,Ash Sharqiyah
41304,2016-08-30 22:16:00,Second Class,5,2,Late delivery,1,18.21944618,-66.37057495,Kenitra,Marruecos,Garb-Chrarda-Beni Hsen
71077,2017-11-06 13:05:00,Second Class,3,2,Late delivery,1,18.27085495,-66.03705597,Perugia,Italia,Umbría
69703,2017-10-18 11:42:00,Second Class,4,2,Late delivery,1,18.23665237,-66.0370636,Nuremberg,Alemania,Bavaria
71112,2017-11-07 01:21:00,Second Class,3,2,Late delivery,1,18.28206062,-66.03705597,Reims,Francia,Alsacia-Champaña-Ardenas-Lorena
69810,2017-10-22 01:12:00,Second Class,6,2,Late delivery,1,18.21524239,-66.03705597,Halle,Alemania,Sajonia-Anhalt
71092,2017-11-06 18:20:00,Second Class,3,2,Late delivery,1,18.25598526,-66.03705597,Bremerhaven,Alemania,Bremen
69610,2017-10-19 03:08:00,Second Class,6,2,Late delivery,1,18.28172112,-66.03705597,Portici,Italia,Campania
71000,2017-11-08 10:06:00,Second Class,6,2,Late delivery,1,18.23458481,-66.03705597,Bielefeld,Alemania,Renania del Norte-Westfalia
70734,2017-11-03 12:55:00,Second Class,5,2,Late delivery,1,18.25249672,-66.03704834,London,Reino Unido,Inglaterra
69626,2017-10-15 08:44:00,Second Class,2,2,Shipping on time,0,18.25508499,-66.03705597,Drancy,Francia,Isla de Francia
69482,2017-10-14 06:17:00,Second Class,3,2,Late delivery,1,18.28042221,-66.0370636,Duisburg,Alemania,Renania del Norte-Westfalia
70769,2017-11-04 01:10:00,Second Class,5,2,Late delivery,1,18.23288918,-66.0370636,Bradford,Reino Unido,Inglaterra
69643,2017-10-17 14:41:00,Second Class,4,2,Late delivery,1,18.22864342,-66.0370636,Agrigento,Italia,Sicilia
71051,2017-11-05 03:58:00,Second Class,2,2,Shipping on time,0,18.29532433,-66.03705597,Oldham,Reino Unido,Inglaterra
69408,2017-10-14 04:21:00,Second Class,4,2,Late delivery,1,18.24217796,-66.0370636,Palermo,Italia,Sicilia
71123,2017-11-08 05:12:00,Second Class,4,2,Late delivery,1,18.25569725,-66.0370636,Madrid,España,Madrid
70534,2017-10-31 14:51:00,Second Class,5,2,Late delivery,1,18.26639938,-66.0370636,Nancy,Francia,Alsacia-Champaña-Ardenas-Lorena
69641,2017-10-15 13:59:00,Second Class,2,2,Shipping on time,0,18.23524284,-66.03705597,Girona,España,Cataluña
70960,2017-11-07 20:05:00,Second Class,6,2,Late delivery,1,18.25786781,-66.03705597,Laon,Francia,Norte-Paso de Calais-Picardía
69908,2017-10-21 11:32:00,Second Class,4,2,Late delivery,1,18.22337914,-66.03705597,Hartlepool,Reino Unido,Inglaterra
70957,2017-11-04 19:02:00,Second Class,3,2,Late delivery,1,18.23107529,-66.03705597,Pontault-Combault,Francia,Isla de Francia
69637,2017-10-16 12:35:00,Second Class,3,2,Late delivery,1,18.26862907,-66.03705597,La Rochelle,Francia,Aquitania-Lemosín-Poitou-Charentes
70955,2017-11-07 18:20:00,Second Class,6,2,Late delivery,1,18.22708893,-66.0370636,Edinburgh,Reino Unido,Escocia
70919,2017-11-06 05:44:00,Second Class,5,2,Late delivery,1,18.23437882,-66.03705597,Acerra,Italia,Campania
71009,2017-11-07 13:15:00,Second Class,5,2,Late delivery,1,18.29236603,-66.0370636,Hanover,Alemania,Baja Sajonia
69653,2017-10-17 18:11:00,Second Class,4,2,Late delivery,1,18.21356773,-66.0370636,Manchester,Reino Unido,Inglaterra
69527,2017-10-14 22:03:00,Second Class,3,2,Late delivery,1,18.2920475,-66.0370636,Messina,Italia,Sicilia
71080,2017-11-09 14:08:00,Second Class,6,2,Late delivery,1,18.24609184,-66.0370636,Wilhelmshaven,Alemania,Baja Sajonia
70544,2017-10-31 18:21:00,Second Class,5,2,Late delivery,1,18.20939446,-66.03705597,Letchworth,Reino Unido,Inglaterra
69471,2017-10-13 02:26:00,Second Class,2,2,Shipping on time,0,18.29184341,-66.03704834,Kilwinning,Reino Unido,Escocia
68879,2017-10-07 11:01:00,Second Class,5,2,Late delivery,1,18.2275734,-66.0437088,Villeneuve-le-Roi,Francia,Isla de Francia
67214,2017-09-13 03:42:00,Second Class,5,2,Late delivery,1,18.28542137,-66.37056732,Barakaldo,España,País Vasco
17810,2015-09-23 23:17:00,Second Class,6,2,Late delivery,1,18.24692345,-66.37057495,Estocolmo,Suecia,Estocolmo
18793,2015-10-06 07:40:00,Second Class,4,2,Late delivery,1,18.23379898,-66.37056732,Aylesbury,Reino Unido,Inglaterra
65109,2017-08-13 10:13:00,Second Class,5,2,Late delivery,1,18.24496079,-66.3705368,Langenhagen,Alemania,Baja Sajonia
15673,2015-08-21 18:35:00,Second Class,4,2,Late delivery,1,18.23220825,-66.37062836,Birmingham,Reino Unido,Inglaterra
18183,2015-09-27 09:57:00,Second Class,4,2,Late delivery,1,18.26521111,-66.37055206,Amsterdam,Países Bajos,Holanda Septentrional
20234,2015-10-28 08:31:00,Second Class,5,2,Late delivery,1,18.28570366,-66.37050629,Viena,Austria,Viena
13139,2015-07-16 18:49:00,Second Class,5,2,Late delivery,1,18.2968502,-66.37062836,Viena,Austria,Viena
33824,2016-05-13 17:42:00,Standard Class,5,4,Shipping canceled,0,40.65486527,-73.58707428,Houston,Estados Unidos,Texas
31364,2016-04-07 19:51:00,Standard Class,5,4,Shipping canceled,0,38.74266434,-76.9917984,Gilbert,Estados Unidos,Arizona
40495,2016-08-20 02:51:00,Standard Class,6,4,Shipping canceled,0,35.36254501,-119.0186996,San Jose,Estados Unidos,California
31364,2016-04-07 19:51:00,Standard Class,5,4,Shipping canceled,0,38.74266434,-76.9917984,Gilbert,Estados Unidos,Arizona
34506,2016-05-20 16:38:00,Standard Class,2,4,Shipping canceled,0,40.74210739,-73.86962128,Fresno,Estados Unidos,California
33607,2016-05-08 13:40:00,Standard Class,3,4,Shipping canceled,0,39.28849411,-84.3551178,Peoria,Estados Unidos,Arizona
32617,2016-04-24 02:50:00,Standard Class,3,4,Shipping canceled,0,39.1836586,-77.26545715,Cincinnati,Estados Unidos,Ohio
37496,2016-07-03 08:10:00,Standard Class,2,4,Shipping canceled,0,32.96593094,-96.84902191,Columbus,Estados Unidos,Indiana
32617,2016-04-24 02:50:00,Standard Class,3,4,Shipping canceled,0,39.1836586,-77.26545715,Cincinnati,Estados Unidos,Ohio
49075,2016-12-23 08:48:00,Standard Class,6,4,Shipping canceled,0,29.83435631,-95.33792877,Ottawa,Canada,Ontario
33824,2016-05-13 17:42:00,Standard Class,5,4,Shipping canceled,0,40.65486527,-73.58707428,Houston,Estados Unidos,Texas
49075,2016-12-23 08:48:00,Standard Class,6,4,Shipping canceled,0,29.83435631,-95.33792877,Ottawa,Canada,Ontario
41623,2016-09-03 14:02:00,Standard Class,4,4,Shipping canceled,0,40.2372818,-76.96795654,Kitchener,Canada,Ontario
39271,2016-07-29 06:01:00,Standard Class,2,4,Shipping canceled,0,34.20339966,-118.6059036,Philadelphia,Estados Unidos,Pensilvania
38598,2016-07-21 10:14:00,Standard Class,4,4,Shipping canceled,0,21.31185532,-158.0046844,Des Plaines,Estados Unidos,Illinois
37845,2016-07-12 10:26:00,Standard Class,6,4,Shipping canceled,0,40.09635925,-74.21524048,Elmhurst,Estados Unidos,Illinois
42331,2016-09-11 22:05:00,Standard Class,2,4,Shipping canceled,0,43.21662521,-75.45603943,Antananarivo,Madagascar,Analamanga
41345,2016-09-01 12:38:00,Standard Class,6,4,Shipping canceled,0,33.21121979,-117.2510605,Algiers,Argelia,Alger
51168,2017-01-20 22:04:00,Standard Class,4,4,Shipping canceled,0,32.8013916,-97.3302536,Monrovia,Liberia,Montserrado
51168,2017-01-20 22:04:00,Standard Class,4,4,Shipping canceled,0,32.8013916,-97.3302536,Monrovia,Liberia,Montserrado
43599,2016-10-03 10:19:00,Standard Class,5,4,Shipping canceled,0,43.78569031,-88.47438049,Jartum,Sudán,Jartum
41901,2016-09-05 15:26:00,Standard Class,2,4,Shipping canceled,0,39.79661942,-75.47006989,Gagnoa,Costa de Marfil,Fromager
42751,2016-09-18 01:13:00,Standard Class,2,4,Advance shipping,0,34.07656479,-117.61409,Livingstone,Zambia,Meridional
45088,2016-10-24 03:59:00,Standard Class,4,4,Shipping on time,0,28.62217712,-81.20755768,Fes,Marruecos,Fez-Bulmán
50489,2017-01-12 00:11:00,Standard Class,5,4,Late delivery,1,42.9666214,-78.74194336,Cairo,Egipto,El Cairo
44409,2016-10-15 06:06:00,Standard Class,5,4,Late delivery,1,21.30562019,-157.8386993,Dakar,Senegal,Dakar
42101,2016-09-08 13:30:00,Standard Class,2,4,Advance shipping,0,33.18587494,-117.3658524,Hurghada,Egipto,Al Bahr al Ahmar
50424,2017-01-11 01:25:00,Standard Class,5,4,Late delivery,1,43.02910233,-78.87342072,Kenitra,Marruecos,Garb-Chrarda-Beni Hsen
49825,2017-01-03 07:33:00,Standard Class,6,4,Late delivery,1,36.82690048,-119.6776962,Abidjan,Costa de Marfil,Lagunes
