purchase_order_detail_id,purchase_order_id,supplier_id,employee_id,product_id,date_key,quantity,unit_cost,total_cost,shipping_fee,taxes,payment_amount,status_id,submitted_date,expected_date,payment_date,payment_method,date_received,posted_to_inventory
266,96,1,5.0,34,20060122,100,10.0,1000.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
279,109,2,4.0,19,20060324,25,7.0,175.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-05,1
285,91,3,2.0,3,20060122,50,8.0,400.0,0,0,0,2,2006-01-14 00:00:00,,,,,0
241,91,3,2.0,5,20060122,40,16.0,640.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
273,103,2,1.0,19,20060324,10,7.0,70.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-17,1
263,92,2,2.0,77,20060122,60,10.0,600.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
254,92,2,2.0,48,20060122,100,10.0,1000.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
258,93,5,2.0,57,20060122,80,15.0,1200.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
277,107,1,6.0,34,20060324,300,10.0,3000.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-05,1
251,92,2,2.0,40,20060122,120,14.0,1680.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
267,97,2,7.0,19,20060122,30,7.0,210.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
252,92,2,2.0,41,20060122,40,7.0,280.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
256,93,5,2.0,52,20060122,100,5.0,500.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
274,104,2,1.0,41,20060324,50,7.0,350.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-06,1
262,92,2,2.0,74,20060122,20,8.0,160.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
276,106,6,7.0,72,20060324,50,26.0,1300.0,0,0,0,2,2006-03-24 00:00:00,,,,2006-04-05,1
239,91,3,2.0,3,20060122,100,8.0,800.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
290,142,8,,1,20060425,1,13.5,13.5,0,0,0,2,2006-04-25 00:00:00,,,Check,,0
238,90,1,2.0,1,20060122,40,14.0,560.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
261,94,6,2.0,72,20060122,40,26.0,1040.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
281,90,1,2.0,1,20060122,40,14.0,560.0,0,0,0,2,2006-01-14 00:00:00,,,,,0
271,101,1,2.0,81,20060122,200,2.0,400.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
272,102,1,1.0,43,20060324,300,34.0,10200.0,0,0,0,2,2006-03-24 00:00:00,,,,,0
242,92,2,2.0,6,20060122,100,19.0,1900.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
286,91,3,2.0,4,20060122,40,16.0,640.0,0,0,0,2,2006-01-14 00:00:00,,,,,0
283,111,1,2.0,34,20060331,50,10.0,500.0,0,0,0,2,2006-03-31 00:00:00,,,,2006-04-04,1
275,105,5,7.0,57,20060324,100,15.0,1500.0,0,0,0,2,2006-03-24 00:00:00,,,Check,2006-04-05,1
245,92,2,2.0,14,20060122,40,17.0,680.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
268,98,2,4.0,41,20060122,200,7.0,1400.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
292,146,2,2.0,20,20060426,40,60.0,2400.0,0,0,0,1,2006-04-26 18:26:37,,,,,0
259,91,3,2.0,65,20060122,40,16.0,640.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
250,90,1,2.0,34,20060122,60,10.0,600.0,0,0,0,2,2006-01-14 00:00:00,,,,2006-01-22,1
294,147,7,2.0,40,20060426,120,13.0,1560.0,0,0,0,1,2006-04-26 18:33:28,,,,,0
295,148,5,2.0,72,20060426,40,26.0,1040.0,0,0,0,1,2006-04-26 18:33:52,,,,,0
